Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
69360,317423,0,0.042207,0.627462,0.307045,0.71596,52,18,190616
70140,317423,0,0.0424017,0.62642,0.308296,0.714848,53,19,192673
70170,317423,0,0.0439503,0.62642,0.308296,0.714848,53,19,192759
70500,317212,0,0.0486294,0.593057,0.348332,0.679261,53,19,193403
70770,317212,0,0.0486294,0.593057,0.348332,0.679261,53,19,194079
70950,317212,0,0.0486294,0.593057,0.348332,0.679261,53,19,194500
71160,317212,0,0.0486294,0.593057,0.348332,0.679261,53,19,195005
71490,317211,0,0.0526501,0.571517,0.374179,0.656285,53,19,195793
72060,317210,0,0.0612257,0.525577,0.429308,0.607282,53,19,197284
72120,317210,0,0.0612257,0.525577,0.429308,0.607282,53,19,197416
73140,317210,0,0.0622277,0.520209,0.43575,0.601556,54,20,200230
73980,316719,0,0.0658551,0.500776,0.459068,0.580828,54,20,202380
74040,316719,0,0.0656853,0.500776,0.459068,0.580828,54,20,202526
74130,316719,0,0.0651056,0.504791,0.45425,0.585111,54,20,202772
74280,316719,0,0.0665549,0.497028,0.463567,0.576829,54,20,203194
74310,316719,0,0.0665549,0.497028,0.463567,0.576829,54,20,203254
74760,316719,0,0.0772878,0.43953,0.532564,0.515498,54,20,204347
75180,316719,0,0.0779006,0.436247,0.536504,0.511996,55,21,205532
75480,316719,0,0.0787288,0.43181,0.541828,0.507264,55,21,206392
75840,316719,0,0.0781077,0.435138,0.537835,0.510813,55,21,207429
76050,316719,0,0.0781077,0.435138,0.537835,0.510813,55,21,208042
76230,316719,0,0.0780248,0.435581,0.537303,0.511287,55,21,208600
76320,316719,0,0.0780248,0.435581,0.537303,0.511287,55,21,208878
76410,316719,0,0.0754451,0.449734,0.520319,0.526383,55,21,209189
76830,316719,0,0.074617,0.453838,0.515395,0.53076,55,21,210442
77250,316719,0,0.0731677,0.461602,0.506078,0.539042,55,21,211700
77460,316719,0,0.0761242,0.445763,0.525084,0.522147,55,21,212299
77550,316719,0,0.0738882,0.457742,0.51071,0.534925,56,22,212581
77610,316719,0,0.0704224,0.457742,0.51071,0.534925,56,22,212807
77760,316719,0,0.0704224,0.476309,0.488429,0.554729,56,22,213226
78510,316719,0,0.0698012,0.479636,0.484437,0.558279,56,22,215217
78900,316719,0,0.0675859,0.491504,0.470195,0.570938,56,22,216206
79170,316719,0,0.0641284,0.491504,0.470195,0.570938,56,22,216875
79320,316719,0,0.0641284,0.510027,0.447968,0.590695,56,22,217177
79560,316719,0,0.0593333,0.535714,0.417143,0.618095,56,22,217795
79800,316719,0,0.0593333,0.535714,0.417143,0.618095,56,22,218306
80220,316719,0,0.0551553,0.558097,0.390284,0.64197,57,23,219370
80850,316719,0,0.0536646,0.566083,0.380701,0.650488,57,23,220923
81270,316719,0,0.051677,0.57673,0.367924,0.661846,57,23,221857
81660,316719,0,0.0491925,0.59004,0.351952,0.676043,57,23,222643
82320,316719,0,0.0457143,0.608673,0.329592,0.695918,57,23,224179
82350,316719,0,0.0457143,0.608673,0.329592,0.695918,57,23,224266
82380,316719,0,0.0457143,0.608673,0.329592,0.695918,57,23,224322
83100,316719,0,0.0310352,0.687311,0.235226,0.779799,58,24,225957
83190,316719,0,0.0310352,0.687311,0.235226,0.779799,58,24,226168
83220,316719,0,0.0310352,0.687311,0.235226,0.779799,58,24,226230
83760,316719,0,0.0291097,0.697626,0.222848,0.790802,58,24,227458
83910,316719,0,0.024824,0.711934,0.205679,0.806063,58,24,227880
85050,316719,0,0.0295652,0.695186,0.225776,0.788199,59,25,230532
86310,316719,0,0.0321739,0.681211,0.242547,0.773292,59,25,232622
87930,316719,0,0.0301863,0.691859,0.229769,0.78465,60,26,235200
88740,316719,0,0.0300621,0.692524,0.228971,0.785359,60,26,236448
91410,316719,0,0.0227329,0.731788,0.181854,0.82724,61,27,240495
92460,316719,0,0.0221118,0.735115,0.177862,0.83079,61,27,242138
93150,316497,0,0.0254617,0.717169,0.199397,0.811647,62,27,243213
93210,316497,0,0.0262692,0.712844,0.204587,0.807033,62,27,243313
93630,316497,0,0.0298137,0.693855,0.227374,0.786779,62,27,243931
94890,316497,0,0.029089,0.697737,0.222715,0.79092,62,27,245888
95100,316497,0,0.0246004,0.721783,0.19386,0.816569,63,28,246214
95490,316497,0,0.0240455,0.724756,0.190293,0.81974,63,28,246825
95760,316497,0,0.0240455,0.724756,0.190293,0.81974,63,28,247276
96780,316497,0,0.0190932,0.751287,0.158456,0.848039,63,28,248838
97380,316497,0,0.0190932,0.751287,0.158456,0.848039,63,28,249716
97590,316383,0,0.0212257,0.739862,0.172165,0.835853,64,28,250032
97800,316383,0,0.02106,0.74075,0.1711,0.8368,64,28,250407
98100,316383,0,0.0223437,0.733873,0.179352,0.829465,64,28,250972
98160,316383,0,0.0223437,0.733873,0.179352,0.829465,64,28,251056
99450,316383,0,0.0260331,0.714108,0.20307,0.808382,64,28,252952
100200,316383,0,0.0286708,0.699978,0.220027,0.79331,65,29,254205
101010,316383,0,0.0228157,0.731344,0.182387,0.826767,65,29,255728
101580,316383,0,0.0230683,0.729991,0.184011,0.825324,65,29,256785
102570,316383,0,0.0198178,0.747405,0.163114,0.843898,66,30,258764
102720,316383,0,0.0198178,0.747405,0.163114,0.843898,66,30,259098
102990,316383,0,0.019942,0.746739,0.163913,0.843188,66,30,259582
103890,316383,0,0.0189896,0.751841,0.157791,0.848631,66,30,261478
104010,316383,0,0.0189896,0.751841,0.157791,0.848631,66,30,261712
104190,316383,0,0.0189896,0.751841,0.157791,0.848631,66,30,262016
104730,316383,0,0.0189896,0.751841,0.157791,0.848631,66,30,263044
105750,316383,0,0.017971,0.757298,0.151242,0.854451,67,31,264657
105960,316383,0,0.017971,0.757298,0.151242,0.854451,67,31,264988
106620,316383,0,0.016646,0.764397,0.142724,0.862023,67,31,266100
106710,316383,0,0.016646,0.764397,0.142724,0.862023,67,31,266224
107100,316383,0,0.016646,0.764397,0.142724,0.862023,67,31,266772
107220,316383,0,0.016646,0.764397,0.142724,0.862023,67,31,266928
107670,316383,0,0.0154244,0.770941,0.134871,0.869003,68,32,267538
107700,316383,0,0.0154244,0.770941,0.134871,0.869003,68,32,267588
108180,316383,0,0.0153002,0.771606,0.134073,0.869713,68,32,268236
108420,316383,0,0.0153002,0.771606,0.134073,0.869713,68,32,268547
109140,316383,0,0.014472,0.776043,0.128749,0.874445,68,32,269522
109410,316383,0,0.014472,0.776043,0.128749,0.874445,68,32,269917
109680,316383,0,0.014472,0.776043,0.128749,0.874445,68,32,270265
